Name;Link;State;Party
Garcia, Mike;https://twitter.com/RepMikeGarcia;CA;Republican
Garcia, Sylvia;https://twitter.com/RepSylviaGarcia;TX;Democrat
Gibbs, Bob;https://twitter.com/RepBobGibbs;OH;Republican
Gimenez, Carlos A.;https://twitter.com/RepCarlos;FL;Republican
Gohmert, Louie;https://twitter.com/replouiegohmert;TX;Republican
Golden, Jared;https://twitter.com/RepGolden;ME;Democrat
Gomez, Jimmy;https://twitter.com/RepJimmyGomez;CA;Democrat
Gonzales, Tony;https://twitter.com/RepTonyGonzales;TX;Republican
González-Cólón, Jenniffer;https://twitter.com/RepJenniffer;PR;Republican
Gonzalez, Anthony;https://twitter.com/RepAGonzalez;OH;Republican
Gonzalez, Vicente;https://twitter.com/RepGonzalez;TX;Democrat
Good, Bob;https://twitter.com/RepBobGood;VA;Republican
Gooden, Lance;https://twitter.com/Lancegooden;TX;Republican
Gosar, Paul A.;https://twitter.com/RepGosar;AZ;Republican
Gottheimer, Josh;https://twitter.com/RepJoshG;NJ;Democrat
Granger, Kay;https://twitter.com/RepKayGranger;TX;Republican
Graves, Garret;https://twitter.com/RepGarretGraves;LA;Republican
Graves, Sam;https://twitter.com/RepSamGraves;MO;Republican
Green, Al;https://twitter.com/RepAlGreen;TX;Democrat
Green, Mark;https://twitter.com/RepMarkGreen;TN;Republican
Greene, Majorie Taylor;https://twitter.com/RepMTG;GA;Republican
Griffith, Morgan;https://twitter.com/RepMGriffith;VA;Republican
Grijalva, Raul;https://twitter.com/RepRaulGrijalva;AZ;Democrat
Grothman, Glenn;https://twitter.com/RepGrothman;WI;Republican
Guest, Michael;https://twitter.com/RepMichaelGuest;MS;Republican
Guthrie, S. Brett;https://twitter.com/RepGuthrie;KY;Republican
Harder, Josh;https://twitter.com/RepJoshHarder;CA;Democrat
Harris, Andy;https://twitter.com/RepAndyHarrisMD;MD;Republican
Harshbarger, Diana;https://twitter.com/RepHarshbarger;TN;Republican
Hartzler, Vicky;https://twitter.com/RepHartzler;MO;Republican
Hayes, Jahana;https://twitter.com/RepJahanaHayes;CT;Democrat
Hern, Kevin;https://twitter.com/repkevinhern;OK;Republican
Herrell, Yvette;https://twitter.com/RepHerrell;NM;Republican
Herrera Butler, Jaime;https://twitter.com/HerreraBeutler;WA;Republican
Hice, Jody;https://twitter.com/CongressmanHice;GA;Republican
Higgins, Brian;https://twitter.com/RepBrianHiggins;NY;Democrat
Higgins, Clay;https://twitter.com/RepClayHiggins;LA;Republican
Hill, French;https://twitter.com/RepFrenchHill;AR;Republican
Himes, Jim;https://twitter.com/jahimes;CT;Democrat
Hinson, Ashley;https://twitter.com/RepAshleyHinson;IA;Republican
Hollingsworth, Trey;https://twitter.com/RepTrey;IN;Republican
Horsford, Steven;https://twitter.com/RepHorsford;NV;Democrat
Houlahan, Chrissy;https://twitter.com/RepHoulahan;PA;Democrat
Hoyer, Steny H.;https://twitter.com/LeaderHoyer;MD;Democrat
Hudson, Richard;https://twitter.com/RepRichHudson;NC;Republican
Huffman, Jared;https://twitter.com/RepHuffman;CA;Democrat
Huizenga, Bill;https://twitter.com/RepHuizenga;MI;Republican
Issa, Darrell;https://twitter.com/repdarrellissa;CA;Republican
Jackson Lee, Sheila;https://twitter.com/JacksonLeeTX18;TX;Democrat
Jackson, Ronny;https://twitter.com/RepRonnyJackson;TX;Republican
Jacobs, Chris;https://twitter.com/RepJacobs;NY;Republican
Jacobs, Sara;https://twitter.com/RepSaraJacobs;CA;Democrat
Jayapal, Pramila;https://twitter.com/RepJayapal;WA;Democrat
Jeffries, Hakeem;https://twitter.com/RepJeffries;NY;Democrat
Johnson, Bill;https://twitter.com/RepBillJohnson;OH;Republican
Johnson, Dusty;https://twitter.com/RepDustyJohnson;SD;Republican
Johnson, Eddie Bernice;https://twitter.com/RepEBJ;TX;Democrat
"Johnson, Henry C. ""Hank"" Jr.";https://twitter.com/RepHankJohnson;GA;Democrat
Johnson, Mike;https://twitter.com/RepMikeJohnson;LA;Republican
Jones, Mondaire;https://twitter.com/RepMondaire;NY;Democrat
Jordan, Jim;https://twitter.com/Jim_Jordan;OH;Republican
Joyce, David;https://twitter.com/RepDaveJoyce;OH;Republican
Joyce, John;https://twitter.com/RepJohnJoyce;PA;Republican
Kahele, Kaiali'i;https://twitter.com/KaheleRep;HI;Democrat
Kaptur, Marcy;https://twitter.com/RepMarcyKaptur;OH;Democrat
Katko, John;https://twitter.com/RepJohnKatko;NY;Republican
Keating, William;https://twitter.com/USRepKeating;MA;Democrat
Keller, Fred;https://twitter.com/RepFredKeller;PA;Republican
Kelly, Mike;https://twitter.com/MikeKellyPA;PA;Republican
Kelly, Robin;https://twitter.com/RepRobinKelly;IL;Democrat
Kelly, Trent;https://twitter.com/RepTrentKelly;MS;Republican
Khanna, Ro;https://twitter.com/RepRoKhanna;CA;Democrat
Kildee, Dan;https://twitter.com/RepDanKildee;MI;Democrat
Kilmer, Derek;https://twitter.com/RepDerekKilmer;WA;Democrat
Kim, Andy;https://twitter.com/RepAndyKimNJ;NJ;Democrat
Kim, Young;https://twitter.com/RepYoungKim;CA;Republican
Kind, Ron;https://twitter.com/RepRonKind;WI;Democrat
Kinzinger, Adam;https://twitter.com/RepKinzinger;IL;Republican
Kirkpatrick, Ann;https://twitter.com/RepKirkpatrick;AZ;Democrat
Krishnamoorthi, Raja;https://twitter.com/CongressmanRaja;IL;Democrat
Kuster, Ann;https://twitter.com/RepAnnieKuster;NH;Democrat
Kustoff, David;https://twitter.com/RepDavidKustoff;TN;Republican
LaHood, Darin;https://twitter.com/RepLaHood;IL;Republican
LaMalfa, Doug;https://twitter.com/RepLaMalfa;CA;Republican
Lamb, Conor;https://twitter.com/RepConorLamb;PA;Democrat
Lamborn, Doug;https://twitter.com/RepDLamborn;CO;Republican
Langevin, Jim;https://twitter.com/JimLangevin;RI;Democrat
Larsen, Rick;https://twitter.com/RepRickLarsen;WA;Democrat
Larson, John B.;https://twitter.com/RepJohnLarson;CT;Democrat
Latta, Robert E.;https://twitter.com/boblatta;OH;Republican
LaTurner, Jake;https://twitter.com/RepLaTurner;KS;Republican
Lawrence, Brenda;https://twitter.com/RepLawrence;MI;Democrat
Lawson, Al;https://twitter.com/RepAlLawsonJr;FL;Democrat
Lee, Barbara;https://twitter.com/RepBarbaraLee;CA;Democrat
Lee, Susie;https://twitter.com/RepSusieLee;NV;Democrat
Leger Fernandez, Teresa;https://twitter.com/RepTeresaLF;NM;Democrat
Lesko, Debbie;https://twitter.com/RepDLesko;AZ;Republican
Letlow, Julia;https://twitter.com/RepJuliaLetlow;LA;Republican
Levin, Andy;https://twitter.com/RepAndyLevin;MI;Democrat
Levin, Mike;https://twitter.com/RepMikeLevin;CA;Democrat
Lieu, Ted;https://twitter.com/RepTedLieu;CA;Democrat
Lofgren, Zoe;https://twitter.com/RepZoeLofgren;CA;Democrat
Long, Billy;https://twitter.com/USRepLong;MO;Republican
Loudermilk, Barry;https://twitter.com/RepLoudermilk;GA;Republican
Lowenthal, Alan;https://twitter.com/RepLowenthal;CA;Democrat
Lucas, Frank;https://twitter.com/RepFrankLucas;OK;Republican
Luetkemeyer, Blaine;https://twitter.com/RepBlaine;MO;Republican
Luria, Elaine;https://twitter.com/RepElaineLuria;VA;Democrat
Lynch, Stephen F.;https://twitter.com/RepStephenLynch;MA;Democrat
Mace, Nancy;https://twitter.com/RepNancyMace;SC;Republican
Malinowski, Tom;https://twitter.com/RepMalinowski;NJ;Democrat
Malliotakis, Nicole;https://twitter.com/RepMalliotakis;NY;Republican
Maloney, Carolyn;https://twitter.com/RepMaloney;NY;Democrat
Maloney, Sean Patrick;https://twitter.com/RepSeanMaloney;NY;Democrat
Mann, Tracey;https://twitter.com/RepMann;KS;Republican
Manning, Kathy E.;https://twitter.com/RepKManning;NC;Democrat
Massie, Thomas;https://twitter.com/RepThomasMassie;KY;Republican
Mast, Brian;https://twitter.com/RepBrianMast;FL;Republican
Matsui, Doris O.;https://twitter.com/DorisMatsui;CA;Democrat
McBath, Lucy;https://twitter.com/RepLucyMcBath;GA;Democrat
McCarthy, Kevin;https://twitter.com/GOPLeader;CA;Republican
McCaul, Michael T.;https://twitter.com/RepMcCaul;TX;Republican
McClain, Lisa C.;https://twitter.com/RepLisaMcClain;MI;Republican
McClintock, Tom;https://twitter.com/RepMcClintock;CA;Republican
McCollum, Betty;https://twitter.com/BettyMcCollum04;MN;Democrat
McEachin, A. Donald;https://twitter.com/RepMcEachin;VA;Democrat
McGovern, James;https://twitter.com/RepMcGovern;MA;Democrat
McHenry, Patrick T.;https://twitter.com/PatrickMcHenry;NC;Republican
McKinley, David;https://twitter.com/RepMcKinley;WV;Republican
McNerney, Jerry;https://twitter.com/RepMcNerney;CA;Democrat
Meeks, Gregory W.;https://twitter.com/RepGregoryMeeks;NY;Democrat
Meijer, Peter;https://twitter.com/RepMeijer;MI;Republican
Meng, Grace;https://twitter.com/RepGraceMeng;NY;Democrat
Meuser, Daniel;https://twitter.com/RepMeuser;PA;Republican
Mfume, Kweisi;https://twitter.com/RepKweisiMfume;MD;Democrat
Miller-Meeks, Mariannette;https://twitter.com/RepMMM;IA;Republican
Miller, Carol;https://twitter.com/RepCarolMiller;WV;Republican
Miller, Mary E.;https://twitter.com/RepMaryMiller;WV;Republican
Moolenaar, John;https://twitter.com/RepMoolenaar;MI;Republican
Mooney, Alex;https://twitter.com/RepAlexMooney;WV;Republican
Moore, Barry;https://twitter.com/RepBarryMoore;AL;Republican
Moore, Blake D.;https://twitter.com/RepBlakeMoore;UT;Republican
Moore, Gwen;https://twitter.com/RepGwenMoore;WI;Democrat
Morelle, Joe;https://twitter.com/RepJoeMorelle;NY;Democrat
Moulton, Seth;https://twitter.com/teammoulton;MA;Democrat
Mrvan, Frank J.;https://twitter.com/RepMrvan;IN;Democrat
Mullin, Markwayne;https://twitter.com/RepMullin;OK;Republican
Murphy, Gregory Francis;https://twitter.com/RepGregMurphy;NC;Republican
Murphy, Stephanie;https://twitter.com/RepStephMurphy;FL;Democrat
Nadler, Jerrold;https://twitter.com/RepJerryNadler;NY;Democrat
Napolitano, Grace;https://twitter.com/gracenapolitano;CA;Democrat
Neal, Richard E.;https://twitter.com/RepRichardNeal;MA;Democrat
Neguse, Joe;https://twitter.com/RepJoeNeguse;CO;Democrat
Nehls, Troy E.;https://twitter.com/RepTroyNehls;TX;Republican
Newhouse, Dan;https://twitter.com/RepNewhouse;WA;Republican
Newman, Marie;https://twitter.com/RepMarieNewman;IL;Democrat
Norcross, Donald;https://twitter.com/DonaldNorcross;NJ;Democrat
Norman, Ralph;https://twitter.com/RepRalphNorman;SC;Republican
Norton, Eleanor Holmes;https://twitter.com/EleanorNorton;DC;Democrat
O'Halleran, Tom;https://twitter.com/RepOHalleran;AZ;Democrat
Obernolte, Jay;https://twitter.com/JayObernolte;CA;Republican
Ocasio-Cortez, Alexandria;https://twitter.com/RepAOC;NY;Democrat
Omar, Ilhan;https://twitter.com/Ilhan;MN;Democrat
Owens, Burgess;https://twitter.com/RepBurgessOwens;UT;Republican
Palazzo, Steven;https://twitter.com/CongPalazzo;MS;Republican
Pallone Jr., Frank;https://twitter.com/FrankPallone;NJ;Democrat
Palmer, Gary;https://twitter.com/USRepGaryPalmer;AL;Republican
Panetta, Jimmy;https://twitter.com/RepJimmyPanetta;CA;Democrat
Pappas, Chris;https://twitter.com/RepChrisPappas;NH;Democrat
Pascrell Jr., Bill;https://twitter.com/BillPascrell;NJ;Democrat
Payne Jr., Donald;https://twitter.com/RepDonaldPayne;NJ;Democrat
Pelosi, Nancy;https://twitter.com/SpeakerPelosi;CA;Democrat
Pence, Greg;https://twitter.com/RepGregPence;IN;Republican
Perlmutter, Ed;https://twitter.com/RepPerlmutter;CO;Democrat
Perry, Scott;https://twitter.com/RepScottPerry;PA;Republican
Peters, Scott;https://twitter.com/RepScottPeters;CA;Democrat
Pfluger, August;https://twitter.com/RepPfluger;TX;Republican
Phillips, Dean;https://twitter.com/RepDeanPhillips;MN;Democrat
Pingree, Chellie;https://twitter.com/chelliepingree;ME;Democrat
Plaskett, Stacey;https://twitter.com/StaceyPlaskett;VI;Democrat
Pocan, Mark;https://twitter.com/repmarkpocan;WI;Democrat
Porter, Katie;https://twitter.com/RepKatiePorter;CA;Democrat
Posey, Bill;https://twitter.com/congbillposey;FL;Republican
Pressley, Ayanna;https://twitter.com/RepPressley;MA;Democrat
Price, David;https://twitter.com/RepDavidEPrice;NC;Democrat
Quigley, Mike;https://twitter.com/RepMikeQuigley;IL;Democrat
Radewagen, Amata;https://twitter.com/RepAmata;AS;Republican
Raskin, Jamie;https://twitter.com/RepRaskin;MD;Democrat
Reed, Tom;https://twitter.com/RepTomReed;NY;Republican
Reschenthaler, Guy;https://twitter.com/GReschenthaler;PA;Republican
Rice, Kathleen;https://twitter.com/RepKathleenRice;NY;Democrat
Rice, Tom;https://twitter.com/RepTomRice;SC;Republican
Rodgers, Cathy McMorris;https://twitter.com/cathymcmorris;WA;Republican
Rogers, Harold;https://twitter.com/RepHalRogers;KY;Republican
Rogers, Mike;https://twitter.com/RepMikeRogersAL;AL;Republican
Rose, John W.;https://twitter.com/RepJohnRose;TN;Republican
Rosendale, Matthew M.;https://twitter.com/RepRosendale;MT;Republican
Ross, Deborah K.;https://twitter.com/RepDeborahRoss;NC;Democrat
Rouzer, David;https://twitter.com/RepDavidRouzer;NC;Republican
Roy, Chip;https://twitter.com/RepChipRoy;TX;Republican
Roybal-Allard, Lucille;https://twitter.com/RepRoybalAllard;CA;Democrat
Ruiz, Raul;https://twitter.com/RepRaulRuizMD;CA;Democrat
Ruppersberger, C. A. Dutch;https://twitter.com/Call_Me_Dutch;MD;Democrat
Rush, Bobby L.;https://twitter.com/RepBobbyRush;IL;Democrat
Rutherford, John;https://twitter.com/RepRutherfordFL;FL;Republican
Ryan, Tim;https://twitter.com/RepTimRyan;OH;Democrat
Sablan, Gregorio;https://twitter.com/Kilili_Sablan;MP;Democrat
Salazar, Maria Elvira;https://twitter.com/RepMariaSalazar;FL;Republican
San Nicolas, Michael F. Q.;https://twitter.com/GuamCongressman;GU;Democrat
Sánchez, Linda;https://twitter.com/RepLindaSanchez;CA;Democrat
Sarbanes, John P.;https://twitter.com/RepSarbanes;MD;Democrat
Scalise, Steve;https://twitter.com/SteveScalise;LA;Republican
Scanlon, Mary Gay;https://twitter.com/RepMGS;PA;Democrat
Schakowsky, Jan;https://twitter.com/janschakowsky;IL;Democrat
Schiff, Adam;https://twitter.com/RepAdamSchiff;CA;Democrat
Schneider, Bradley;https://twitter.com/RepSchneider;IL;Democrat
Schrader, Kurt;https://twitter.com/RepSchrader;OR;Democrat
Schrier, Kim;https://twitter.com/RepKimSchrier;WA;Democrat
Schweikert, David;https://twitter.com/RepDavid;AZ;Republican
Scott, Austin;https://twitter.com/AustinScottGA08;GA;Republican
Scott, David;https://twitter.com/repdavidscott;GA;Democrat
Scott, Robert C.;https://twitter.com/BobbyScott;VA;Democrat
Sessions, Pete;https://twitter.com/PeteSessions;TX;Republican
Sewell, Terri A.;https://twitter.com/RepTerriSewell;AL;Democrat
Sherman, Brad;https://twitter.com/BradSherman;CA;Democrat
Sherrill, Mikie;https://twitter.com/RepSherrill;NJ;Democrat
Simpson, Mike;https://twitter.com/CongMikeSimpson;ID;Republican
Sires, Albio;https://twitter.com/RepSires;NJ;Democrat
Slotkin, Elissa;https://twitter.com/RepSlotkin;MI;Democrat
Smith, Adam;https://twitter.com/RepAdamSmith;WA;Democrat
Smith, Adrian;https://twitter.com/RepAdrianSmith;NE;Republican
Smith, Chris;;NJ;Republican
Smith, Jason;https://twitter.com/RepJasonSmith;MO;Republican
Smucker, Lloyd;https://twitter.com/RepSmucker;PA;Republican
Soto, Darren;https://twitter.com/RepDarrenSoto;FL;Democrat
Spanberger, Abigail;https://twitter.com/RepSpanberger;VA;Democrat
Spartz, Victoria;https://twitter.com/RepSpartz;IN;Republican
Speier, Jackie;https://twitter.com/RepSpeier;CA;Democrat
Stansbury, Melanie ;https://twitter.com/Rep_Stansbury;NM;Democrat
Stanton, Greg;https://twitter.com/RepGregStanton;AZ;Democrat
Stauber, Pete;https://twitter.com/RepPeteStauber;MN;Republican
Steel, Michelle;https://twitter.com/RepSteel;CA;Republican
Stefanik, Elise;https://twitter.com/RepStefanik;NY;Republican
Steil, Bryan;https://twitter.com/RepBryanSteil;WI;Republican
Steube, W. Gregory;https://twitter.com/RepGregSteube;FL;Republican
Stevens, Haley;https://twitter.com/RepHaleyStevens;MI;Democrat
Stewart, Chris;https://twitter.com/RepChrisStewart;UT;Republican
Strickland, Marilyn;https://twitter.com/RepStricklandWA;WA;Democrat
Suozzi, Thomas;https://twitter.com/RepTomSuozzi;NY;Democrat
Swalwell, Eric;https://twitter.com/RepSwalwell;CA;Democrat
Takano, Mark;https://twitter.com/RepMarkTakano;CA;Democrat
Taylor, Van;https://twitter.com/RepVanTaylor;TX;Republican
Tenney, Claudia;https://twitter.com/claudiatenney;NY;Republican
Thompson, Bennie G.;https://twitter.com/BennieGThompson;MS;Democrat
Thompson, Glenn;https://twitter.com/CongressmanGT;PA;Republican
Thompson, Mike;https://twitter.com/RepThompson;CA;Democrat
Tiffany, Thomas P.;https://twitter.com/RepTiffany;WI;Republican
Timmons, William;https://twitter.com/RepTimmons;SC;Republican
Titus, Dina;https://twitter.com/repdinatitus;NV;Democrat
Tlaib, Rashida;https://twitter.com/RepRashida;MI;Democrat
Tonko, Paul D.;https://twitter.com/RepPaulTonko;NY;Democrat
Torres, Norma;https://twitter.com/NormaJTorres;CA;Democrat
Torres, Ritchie;https://twitter.com/RepRitchie;NY;Democrat
Trahan, Lori;https://twitter.com/RepLoriTrahan;MA;Democrat
Trone, David;https://twitter.com/RepDavidTrone;MD;Democrat
Turner, Mike;https://twitter.com/RepMikeTurner;OH;Republican
Underwood, Lauren;https://twitter.com/RepUnderwood;IL;Democrat
Upton, Fred;https://twitter.com/RepFredUpton;MI;Republican
Valadao, David G.;https://twitter.com/RepDavidValadao;CA;Republican
Van Drew, Jefferson;;NJ;Republican
Van Duyne, Beth;https://twitter.com/RepBethVanDuyne;TX;Republican
Vargas, Juan;https://twitter.com/RepJuanVargas;CA;Democrat
Veasey, Marc;https://twitter.com/RepVeasey;TX;Republican
Velázquez, Nydia M.;https://twitter.com/NydiaVelazquez;NY;Democrat
